time,open,high,low,close,MHULL,SHULL
1507075200,4307,4307,4307,4307,NaN,NaN
1507161600,3500,3500,3500,3500,NaN,NaN
1507248000,4860,4860,4860,4860,NaN,NaN
1507334400,3850,4858,3850,4858,NaN,NaN
1507507200,4500,4850,3900,4850,NaN,NaN
1507766400,4840,4840,3900,3900,NaN,NaN
1507852800,5730,5730,5730,5730,NaN,NaN
1507939200,5729,5729,5729,5729,NaN,NaN
1508025600,5730,5730,5730,5730,NaN,NaN
1508198400,5730,5730,5730,5730,NaN,NaN
1508284800,4954.61806451,5533.74436318,3800,3812.00423816,NaN,NaN
1508371200,3812.00422456,5693.2105144,3806.38167633,5137.92726916,NaN,NaN
1508457600,5137.92726916,5998.20783053,5137.92726916,5698.29743879,NaN,NaN
1508544000,5698.29743879,6659.99999998,5691.99999971,5985.00000004,NaN,NaN
1508630400,5985.00000005,6659.99999999,5691.99999972,6500,NaN,NaN
1508716800,6229.65000043,6500,5691.99999971,6149.99999999,NaN,NaN
1508803200,6149.99999999,6149.99999999,5269.276017,5731.99999998,NaN,NaN
1508889600,5280,5779.99999999,5170.9931872,5779.99999999,NaN,NaN
1508976000,5779.99999999,6029.99999999,5450,6010,NaN,NaN
1509062400,5768,5999,5286.00001,5699.999999,NaN,NaN
1509148800,5774.22,5999,5420.000001,5701,NaN,NaN
1509235200,5701,6149.999999,5451.000001,6016.016017,NaN,NaN
1509321600,6016.016017,6474.999999,5799,6246.989999,NaN,NaN
1509408000,6132,6474.999999,6001,6310.200001,NaN,NaN
1509494400,6467.999999,6874.8,6310.10002,6874.8,NaN,NaN
1509580800,6873.999999,7300,6425,6988,NaN,NaN
1509667200,6988,7398,6851,7284,NaN,NaN
1509753600,7000.01,7600,7000.01,7390,NaN,NaN
1509840000,7305,7700,7006.000001,7305.000002,NaN,NaN
1509926400,7307.000001,7599.9,6902,7000,NaN,NaN
1510012800,7000,7400,6902.000001,7150,NaN,NaN
1510099200,7140,7775,6850,7062.000001,NaN,NaN
1510185600,7100,7450,7100,7115,NaN,NaN
1510272000,7115,7286.5,6188.000001,6290.000001,NaN,NaN
1510358400,6290.000001,6799,6227,6236.100001,NaN,NaN
1510444800,6236.100001,6850,5005,5600,NaN,NaN
1510531200,5750.000001,6870,5750.000001,6050.000085,NaN,NaN
1510617600,6700,6797,6050.000081,6271.000001,NaN,NaN
1510704000,6271,7300,6270.000003,6999.999999,NaN,NaN
1510790400,6999.999999,8599,6549.000001,7655.000001,NaN,NaN
1510876800,7700,8100,7501.000115,7700.000001,NaN,NaN
1510963200,7505.000004,7800,7505.000004,7661,NaN,NaN
1511049600,7661.000001,8100,7560.000001,7660.100007,NaN,NaN
1511136000,8000,8300,7670.000001,8300,NaN,NaN
1511222400,8150,8500,7800.000001,8183.765004,NaN,NaN
1511308800,8183.765004,8497.999999,8121.000009,8287.499995,NaN,NaN
1511395200,8287.5,8385.749998,8000.000001,8090.49995,NaN,NaN
1511481600,8090.499948,8450,7835.388408,8271,NaN,NaN
1511568000,8271,8698.999999,8051,8456,NaN,NaN
1511654400,8456,9698.999998,8456,9180.5,NaN,NaN
1511740800,9225.499999,9953.999999,9209.499995,9739.499998,NaN,NaN
1511827200,9657.25,10000,9600.000001,9999.99,NaN,NaN
1511913600,9927,14989.999985,8900,9700,NaN,NaN
1512000000,9999.999999,11192.999996,9010,9815.262385,NaN,NaN
1512086400,9815.262384,11000,9150,10524.999999,NaN,NaN
1512172800,10524.999999,11320.255256,10050,11124.999997,NaN,NaN
1512259200,11124.999998,11960.255255,10525,10768.018019,NaN,NaN
1512345600,10768.01802,11600,10752.027034,11462.5,NaN,NaN
1512432000,11462.5,11843,10000,11681.125501,NaN,NaN
1512518400,11681.1255,13875,11509.249999,13662.5,NaN,NaN
1512604800,13662.5,17999.999998,12001,16524.95,10828.572025104388,NaN
1512691200,16524.95,17895.499999,11848.88,16000.000001,11369.6386301733,NaN
1512777600,15646.345,16000.000001,13700.000001,15104.397541,11933.461128146333,10828.572025104388
1512864000,15104.397541,15900,12600.2,15350,12507.105482738345,11369.6386301733
1512950400,15030,17250,15015.015016,16499.900002,13100.879021254883,11933.461128146333
1513036800,16500,17350,16050,16425,13690.488028315533,12507.105482738345